113,937,180
825,269,200
207,219,455
229,312,564
764,159,306
433,392,992
368,362,852
490,448,972
83,984,300
927,443,201
576,68,580
475,903,271
911,321,490
790,455,247
447,445,998
457,168,425
84,325,517
496,105,795
544,480,256
190,192,606
217,636,368
786,161,485
424,156,813
897,407,276
887,407,422
328,161,713
218,488,148
184,464,889
487,111,854
377,912,492
474,473,950
951,117,372
442,120,458
840,41,841
194,170,406
836,66,377
444,391,898
294,402,71
508,65,212
249,802,393
245,772,395
238,983,445
903,387,237
502,332,155
458,884,145
112,15,113
710,149,498
671,310,268
291,947,423
498,274,952
674,130,90
58,195,413
102,292,425
184,838,277
480,488,88
132,925,479
171,864,169
436,130,737
198,851,482
401,168,755
774,292,248
178,172,771
297,585,504
109,481,300
125,100,75
928,207,106
387,193,615
429,887,289
886,492,356
399,500,50
759,154,404
405,456,956
60,899,901
172,944,229
385,402,919
654,188,162
228,740,704
716,368,280
905,399,243
750,451,254
50,116,692
377,934,207
451,154,634
913,273,451
412,157,206
909,180,891
893,385,82
609,439,59
336,459,879
464,777,905
308,215,765
164,344,99
425,912,369
796,239,370
452,862,97
528,46,530
243,158,64
40,399,401
387,70,887
712,312,640
417,793,241
320,192,256
379,895,456
856,431,252
481,480,31
862,83,363
282,411,919
420,669,172
291,368,933
853,131,377
393,50,592
482,210,724
390,825,328
918,473,298
563,59,143
346,806,411
465,982,419
265,23,264
204,668,186
251,411,743
162,941,472
346,964,489
327,103,180
959,425,195
576,720,432
841,349,183
692,382,287
279,471,891
522,378,360
259,822,497
339,949,492
485,88,621
553,159,115
474,971,487
341,996,310
618,52,293
448,976,256
980,427,444
195,28,197
201,256,645
111,633,212
388,908,321
641,487,116
199,467,823
712,298,84
491,156,86
793,316,462
350,932,204
694,322,203
248,470,190
484,748,158
231,584,242
878,478,253
706,544,450
966,437,219
130,112,66
160,805,53
660,208,692
293,239,545
447,105,266
668,312,133
998,416,491
254,858,323
190,448,70
106,180,376
89,369,101
999,470,462
264,900,442
870,196,375
752,332,164
360,931,148
203,85,631
337,241,684
408,164,676
214,325,711
139,215,613
292,789,283
428,268,820
316,406,917
269,406,97
192,592,560
62,302,749
443,494,999
944,232,384
99,811,237
100,181,720
949,482,406
105,88,137
927,159,462
110,436,933
351,674,205
247,79,990
996,195,220
185,760,383
185,996,467
967,455,470
438,166,646
481,973,342
233,54,867
461,971,483
504,230,554
309,431,948
323,36,325
987,450,494
982,107,468
980,373,490
492,985,229
492,976,339
378,776,275
476,353,963
845,478,234
216,776,179
58,40,42
670,78,142
356,77,740
822,417,68
860,316,466
947,314,301
337,175,288
115,150,955
46,530,528
199,407,933
453,276,797
156,443,114
58,874,390
12,35,37
169,481,936
487,1000,490
987,424,356
348,289,670
240,762,85
745,374,327
931,230,174
450,250,977
78,119,614
388,289,871
551,91,225
116,754,308
474,932,372
696,985,697
821,86,350
205,914,454
384,440,584
245,101,718
410,168,615
483,1000,356
881,352,103
477,928,315
788,488,146
251,362,636
146,110,96
772,437,289
208,775,62
85,66,479
391,341,949
101,765,131
76,995,198
16,34,30
160,939,215
640,144,656
56,516,111
212,112,514
83,669,244
319,746,86
252,585,184
455,436,901
205,373,163
377,505,336
415,117,629
200,641,609
873,287,350
533,525,92
254,735,274
171,221,140
63,107,224
437,90,761
336,748,820
340,850,495
65,878,244
732,142,315
700,56,136
901,318,441
367,958,315
328,932,443
394,325,865
347,429,894
785,479,231
488,480,88
595,429,114
139,315,791
120,457,181
560,702,898
779,297,373
536,184,351
729,104,304
919,331,445
192,56,91
80,144,783
71,463,223
634,76,443
302,446,969
102,873,490
985,243,332
295,761,444
368,884,108
81,897,200
251,432,689
227,865,218
869,123,483
808,160,792
57,987,212
619,497,96
236,593,242
792,332,92
464,957,425
493,392,986
672,388,241
293,314,801
224,360,424
273,364,868
266,133,69
536,107,110
847,137,225
138,153,598
476,133,182
303,677,344
724,350,98
135,82,520
336,377,505
698,598,360
80,483,82
431,828,395
121,400,663
855,134,259
192,560,592
927,415,54
551,166,245
944,363,209
462,464,981
823,441,269
770,177,225
272,462,971
439,250,716
416,231,142
376,665,240
970,966,88
215,899,427
104,40,96
384,200,983
107,988,475
884,50,358
352,943,496
377,811,133
108,449,303
410,857,112
160,53,317
169,895,498
281,762,453
991,330,492
492,286,841
849,293,309
85,603,266
622,229,382
40,32,24
967,407,429
369,938,303
723,262,58
811,494,306
950,250,279
623,184,230
275,373,723
811,482,209
800,428,69
836,480,964
154,550,107
300,271,822
949,333,351
72,431,549
654,155,300
805,394,398
148,87,617
